[2025-05-19 19:09:20.618] 1.161
[2025-05-19 19:09:20.618] 1.161
[2025-05-19 19:09:20.618] 1.160
[2025-05-19 19:09:20.618] 1.160
[2025-05-19 19:09:20.618] 1.160
[2025-05-19 19:09:20.618] 1.160
[2025-05-19 19:09:20.618] 1.160
[2025-05-19 19:09:20.618] 1.161
[2025-05-19 19:09:20.618] 1.160
[2025-05-19 19:09:20.618] 1.159
[2025-05-19 19:09:20.618] 1.159
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.624] 1.160
[2025-05-19 19:09:20.624] 1.160
[2025-05-19 19:09:20.624] 1.160
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.624] 1.160
[2025-05-19 19:09:20.624] 1.160
[2025-05-19 19:09:20.624] 1.160
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.624] 1.160
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.624] 1.159
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.161
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.161
[2025-05-19 19:09:20.634] 1.162
[2025-05-19 19:09:20.634] 1.161
[2025-05-19 19:09:20.634] 1.161
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.159
[2025-05-19 19:09:20.634] 1.159
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.161
[2025-05-19 19:09:20.634] 1.161
[2025-05-19 19:09:20.634] 1.162
[2025-05-19 19:09:20.634] 1.163
[2025-05-19 19:09:20.634] 1.162
[2025-05-19 19:09:20.634] 1.163
[2025-05-19 19:09:20.634] 1.163
[2025-05-19 19:09:20.634] 1.162
[2025-05-19 19:09:20.634] 1.162
[2025-05-19 19:09:20.634] 1.161
[2025-05-19 19:09:20.634] 1.160
[2025-05-19 19:09:20.634] 1.159
[2025-05-19 19:09:20.650] 1.160
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.160
[2025-05-19 19:09:20.650] 1.160
[2025-05-19 19:09:20.650] 1.160
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.160
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.160
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.158
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.160
[2025-05-19 19:09:20.650] 1.161
[2025-05-19 19:09:20.650] 1.160
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.160
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.650] 1.158
[2025-05-19 19:09:20.650] 1.158
[2025-05-19 19:09:20.650] 1.159
[2025-05-19 19:09:20.666] 1.160
[2025-05-19 19:09:20.666] 1.160
[2025-05-19 19:09:20.666] 1.161
[2025-05-19 19:09:20.666] 1.160
[2025-05-19 19:09:20.666] 1.160
[2025-05-19 19:09:20.666] 1.160
[2025-05-19 19:09:20.666] 1.159
[2025-05-19 19:09:20.666] 1.160
[2025-05-19 19:09:20.666] 1.159
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.666] 1.157
[2025-05-19 19:09:20.666] 1.157
[2025-05-19 19:09:20.666] 1.156
[2025-05-19 19:09:20.666] 1.157
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.666] 1.159
[2025-05-19 19:09:20.666] 1.159
[2025-05-19 19:09:20.666] 1.159
[2025-05-19 19:09:20.666] 1.159
[2025-05-19 19:09:20.666] 1.159
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.666] 1.158
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.157
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.157
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.159
[2025-05-19 19:09:20.682] 1.159
[2025-05-19 19:09:20.682] 1.159
[2025-05-19 19:09:20.682] 1.160
[2025-05-19 19:09:20.682] 1.160
[2025-05-19 19:09:20.682] 1.159
[2025-05-19 19:09:20.682] 1.159
[2025-05-19 19:09:20.682] 1.159
[2025-05-19 19:09:20.682] 1.159
[2025-05-19 19:09:20.682] 1.159
[2025-05-19 19:09:20.682] 1.159
[2025-05-19 19:09:20.682] 1.160
[2025-05-19 19:09:20.682] 1.160
[2025-05-19 19:09:20.682] 1.159
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.159
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.682] 1.158
[2025-05-19 19:09:20.698] 1.158
[2025-05-19 19:09:20.698] 1.158
[2025-05-19 19:09:20.698] 1.157
[2025-05-19 19:09:20.698] 1.158
[2025-05-19 19:09:20.698] 1.159
[2025-05-19 19:09:20.698] 1.159
[2025-05-19 19:09:20.698] 1.159
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.160
[2025-05-19 19:09:20.698] 1.159
[2025-05-19 19:09:20.698] 1.159
